127.0.0.1 - - [24/Apr/2025:09:33:15 +0900] "GET / HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [24/Apr/2025:09:33:37 +0900] "GET /poke_Type/index.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [24/Apr/2025:09:33:37 +0900] "GET /favicon.ico HTTP/1.1" 404 907
0:0:0:0:0:0:0:1 - - [24/Apr/2025:09:34:03 +0900] "POST /poke_Type/Login HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [24/Apr/2025:09:34:05 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:09:34:14 +0900] "POST /poke_Type/TypeCheck HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [24/Apr/2025:09:34:15 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:09:34:33 +0900] "POST /poke_Type/TypeCheck HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [24/Apr/2025:09:34:36 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:09:34:41 +0900] "POST /poke_Type/TypeCheck HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [24/Apr/2025:09:34:49 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:09:34:50 +0900] "GET /poke_Type/Logout HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [24/Apr/2025:09:34:52 +0900] "GET /poke_Type/index.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:07:50 +0900] "POST /poke_Type/Login HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:07:57 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:08:01 +0900] "POST /poke_Type/TypeCheck HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:08:02 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:08:07 +0900] "POST /poke_Type/TypeCheck HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:08:09 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:08:14 +0900] "POST /poke_Type/TypeCheck HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:08:15 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:08:20 +0900] "POST /poke_Type/TypeCheck HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:08:21 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:08:23 +0900] "GET /poke_Type/Logout HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:08:25 +0900] "GET /poke_Type/index.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:16:52 +0900] "POST /poke_Type/Login HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:16:55 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:17:52 +0900] "GET /poke_Type/Logout HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:17:53 +0900] "GET /poke_Type/index.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:18:05 +0900] "POST /poke_Type/Login HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:18:14 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:18:20 +0900] "POST /poke_Type/TypeCheck HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:18:21 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:18:24 +0900] "POST /poke_Type/TypeCheck HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:18:26 +0900] "GET /poke_Type/TypeCheck HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:18:32 +0900] "GET /poke_Type/Logout HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:18:37 +0900] "GET /poke_Type/index.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:18:45 +0900] "POST /poke_Type/Login HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [24/Apr/2025:10:18:46 +0900] "GET /poke_Type/index.jsp HTTP/1.1" 200 390
